"","FDR corrected Pvalue","ST Comparison Group Pvalue","SW Comparison Group Pvalue","TW Comparison Group Pvalue","ST Comparison Group Effect Size","SW Comparison Group Effect Size","TW Comparison Group Effect Size","ST Comparison Group Lower CI","ST Comparison Group Higher CI","SW Comparison Group Lower CI","SW Comparison Group Higher CI","TW Comparison Group Lower CI","TW Comparison Group Higher CI"
"S1Sh_L",0.0347294305173481,0.0192,0.0302,0.978,1.32239824468889,1.32408836973921,0.0939294807454771,0.000214220170896602,0.00263643107992449,0.000114552319018363,0.00253676322804625,-0.00134588508332334,0.00114654937956686
"ac_L",0.0351179515299203,0.186,0.00858,0.334,-1.33193502465797,-0.869591868816014,0.797321446196848,-0.00520032112502395,0.000830745208178944,-0.0069895826668677,-0.000958516333664807,-0.00489221957097849,0.00131369648729099
"RTg_R",0.035409962221169,0.0232,0.0267,0.998,-1.16018280942198,-1.14109393645589,-0.0485784636697252,-0.0111989735459907,-0.000746690720220638,-0.0110656745079507,-0.00061339168218064,-0.00524435611034675,0.00551095418642675
"vhc_L",0.035409962221169,0.471,0.1,0.00965,-1.20050966385288,0.493768011109054,1.4837085067467,-0.000202531045964888,0.000567582653208553,-0.000716632098010264,5.34816011631772e-05,-0.000910321281466703,-0.000117880822624049
"Post_L",0.035409962221169,0.0474,0.779,0.0132,0.324823008648592,-1.1131560096188,-1.4995126012996,-0.0103601116379488,-5.31215113189678e-05,-0.0037652157183413,0.00654177440828854,0.00129199324822303,0.011897798590992
"DIEnt_L",0.0361045136755391,0.0137,0.0592,0.79,0.983890288450371,1.37358213446435,0.405250879697355,0.00315439346500222,0.0298237541072036,-0.000438354210382776,0.0262310064318186,-0.0173140205257635,0.0101285251749936
"Vll_R",0.036417427068838,0.0332,0.0209,0.977,-1.22182465397589,-1.11779964772618,0.136903295913943,-0.00132071061720094,-4.91081527071694e-05,-0.00137446018100701,-0.000102857716513243,-0.0007079836343793,0.000600484506767152
"Ve_R",0.0365726529868039,0.024,0.0291,0.996,-1.23879074970506,-1.17061979961459,-0.050356022752225,-0.115795565705914,-0.00741607169082002,-0.113889226853887,-0.00550973283879245,-0.0538544507941214,0.0576671284981766
"Tg_R",0.0366099526993867,0.0386,0.0192,0.948,-1.32851310976349,-1.13341327155149,0.166901863662332,-0.00045073840993187,-1.0778741178017e-05,-0.000478891652350828,-3.89319835969749e-05,-0.000254510624552116,0.0001982041397142
"V1B_R",0.0374370741913316,0.0117,0.104,0.584,1.00505754443146,1.30133085606373,0.54790531364644,0.00615605609196078,0.0526943015730067,-0.00339004227916669,0.0431482032018792,-0.0334898281361698,0.0143976313939149
"LV_R",0.0382857780395024,0.221,0.0101,0.32,-1.44787106888445,-0.706609180542816,0.862844182499355,-0.147668290641769,0.0277686604754415,-0.200844658592836,-0.0254077074756248,-0.143437934646018,0.0370851987438851
"Pr5_R",0.0390194587529953,0.0197,0.0451,0.927,-1.17312522917815,-1.27469760841329,-0.191325220665243,-0.0223484854276403,-0.00176875526816468,-0.0207836537784653,-0.000203923618989672,-0.00902335216571907,0.0121530154640691
"BNst_R",0.0390194587529953,0.0143,0.0779,0.724,-1.02164761596049,-1.27167247777515,-0.451345250311944,-0.00917457804829564,-0.000941813100021042,-0.00787349799952063,0.000359266948753966,-0.00293464257254479,0.00553680267009481
"RTN_R",0.0412660483895748,0.0718,0.0162,0.779,-1.36190279712817,-0.954140904308005,0.396654982861764,-0.0225523095576642,0.000827647899350574,-0.0257943925745417,-0.00241443511752696,-0.0152709718905878,0.0087868058568327
"S1FL_L",0.0415595080814807,0.0152,0.0851,0.714,1.31456566038331,1.29439305697414,0.339598436518817,0.00583687697662012,0.0594197824098188,-0.00281425139056356,0.0507686540426351,-0.0362193057760389,0.0189170490416716
"V2MM_R",0.041931010400991,0.0172,0.0705,0.799,1.08207359936643,1.42914441123723,0.293862806713439,0.00282404195546455,0.0316421569553868,-0.000967233131941705,0.0278508818679806,-0.0186180729342886,0.0110355227594761
"PVG_L",0.041931010400991,0.0438,0.0237,0.958,-1.38253064180947,-1.00824257688604,0.159038536148952,-0.00274210450516925,-3.39506112271527e-05,-0.0028961400413168,-0.000187986147374699,-0.00154736921962529,0.00123929814733019
"sc_L",0.0427263255682913,0.255,0.012,0.313,1.53346343367808,0.780952429863353,-0.649570735765163,-0.0053639292998058,0.025113268390658,0.0039633787937617,0.0344405764842255,-0.00635308075550175,0.0250076969426367
"Sp5_L",0.0436435594032219,0.0156,0.101,0.667,1.18025590581774,1.40405537375698,0.357484601478238,0.0147812802236572,0.153492636248174,-0.00979783986705526,0.128913516157462,-0.0959455239949228,0.0467872838134979
"Int_R",0.0461251868395349,0.0192,0.0786,0.795,-0.951387830312822,-1.24552341879017,-0.417328347218997,-0.00944758430209761,-0.000767918443551284,-0.0082929033245351,0.000386762534011217,-0.0033109702651888,0.0056203322203138
"Ect_L",0.0470027179027689,0.0441,0.0296,0.982,1.32534283514122,1.10116580287676,-0.0895410506982267,0.00045286321284586,0.038060647138683,0.00184654085708839,0.0394543247829255,-0.0179553675566362,0.0207427228451213
"Athal_L",0.0473838599616791,0.593,0.0151,0.131,-1.45889013775958,-0.42501587672192,1.0000926562014,-0.00837858176701128,0.00365159655367714,-0.0133503971882888,-0.00132021886760037,-0.0111612911043079,0.00121766026175293
